,words,1,2,3,dop,l_en,r_en,score,diff_en,raw_words,nomatch
71,良心不会痛吗,1.2501552e-07,5.3317133e-05,426.48412100006993,,,,,,,
72,非常失望,1.6156707e-06,0.0006866600599999999,425.00000070365104,-8.224456,1.6127839,1.69897,-4.912702,-0.08618610000000015,,
73,效果还,1.6156707e-06,0.0006834286999999999,423.0000015480323,-8.583929,2.049218,1.8388491,-4.695862,0.2103689000000002,,
74,大家不要买,1.6156707e-06,0.00067535037,418.00000365898535,-8.099567,1.30103,1.60206,-5.1964774,-0.30103000000000013,,
75,失望了,1.6156707e-06,0.00067535037,418.00000365898535,-8.134932,1.2787536,1.1760913,-5.6800866,0.10266229999999998,,
76,服务态度差,1.6156707e-06,0.0006721190299999999,416.0000045033666,-7.1552176,1.3617278,1.230449,-4.5630407,0.13127880000000003,,
77,妈的,1.6156707e-06,0.0006608093400000001,409.00000745870096,-9.526454,1.9867717,1.7403626,-5.7993197,0.24640909999999994,,
78,后悔买了,1.6156707e-06,0.0006608093400000001,409.00000745870096,-8.048906,1.6232493,1.8260748,-4.5995827,-0.2028255000000001,,
79,味道一般般,1.6156707e-06,0.000652731,404.00000956965414,-6.750046,1.845098,1.7323937,-3.172554,0.11270429999999987,,
80,什么垃圾,1.6156707e-06,0.00064949965,402.0000104140353,-8.867053,1.6720978,1.6334685,-5.5614867,0.03862929999999998,,
81,一点也不好,1.6156707e-06,0.00064465264,399.0000116806072,-8.26563,2.3443923,1.9242793,-3.9969583,0.42011299999999996,,
82,第一次差评,1.6156707e-06,0.00064465264,399.0000116806072,,,,,,,
83,不靠谱,1.6156707e-06,0.00063818996,395.00001336936964,-9.004987,1.6334685,1.6627579,-5.7087603,-0.02928939999999991,,
84,建议大家不要买,1.6156707e-06,0.00063818996,395.00001336936964,,,,,,,
85,建议不要买,1.6156707e-06,0.00063818996,395.00001336936964,-8.3661375,1.2552725,1.3802112,-5.730654,-0.12493869999999996,,
86,效果不好,1.6156707e-06,0.0006349586,393.00001421375083,-8.279451,1.4313638,1.4913617,-5.3567257,-0.05999789999999994,,
87,差的一次购物体验,1.6156707e-06,0.0006268802,387.9999802977712,,,,,,,
88,不买,1.6156707e-06,0.0006252645400000001,386.9999807199617,-7.269711,0.845098,0.845098,-5.579515,0.0,,
89,欺诈消费者,6.250776e-07,0.00024073494,385.12809907096636,-6.153462,1.8573325,1.6627579,-2.6333714,0.19457460000000015,,
90,气死了,1.6156707e-06,0.0006220332,384.9999815643429,-8.83846,1.6434526,1.6812413,-5.5137663,-0.0377886999999999,,
91,没有包装,1.6156707e-06,0.0006220332,384.9999815643429,,,,,,,
92,直接扔了,1.6156707e-06,0.0006188018599999999,382.9999824087241,-7.800644,1.7160033,1.7403626,-4.344278,-0.024359300000000195,,
93,感觉是假的,1.6156707e-06,0.0006107235,377.9999845196773,,,,,,,
94,包装差,1.6156707e-06,0.0006107235,377.9999845196773,,,,,,,
95,物流很慢,1.6156707e-06,0.0006107235,377.9999845196773,,,,,,,
96,差评差评,5.2506516e-06,0.001967887,374.7890879376562,-6.2610946,1.3617278,1.2787536,-3.620613,0.0829742,,
97,客服不,1.6156707e-06,0.0006010295,371.999987052821,-9.312192,1.9777236,1.7853298,-5.5491385,0.19239380000000006,,
98,不送货上门,1.6156707e-06,0.0006010295,371.999987052821,,,,,,,
99,好小,1.6156707e-06,0.0005994138,370.9999874750116,-9.519363,1.7853298,1.9637878,-5.7702456,-0.178458,,
