words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
给力了,9.326156999999999e-05,1.2501552e-07,745.9999734005821,-8.607157,1.1760913,1.748188,-5.6828775,-0.5720967000000001,给力,-8.765905,1.3424227,1.6627579,-0.32033519999999993,-5.760725
下次有,9.2386465e-05,1.2501552e-07,738.9999741962912,-8.822839,2.1367207,1.60206,-5.0840583,0.5346607000000001,下次有机会,-7.087474,2.0681858,1.9344984,0.13368740000000012,-3.0847898
脸很舒服,9.163636999999999e-05,1.2501552e-07,732.9999748783275,-8.077161,0.7781513,1.6627579,-5.6362514,-0.8846065999999999,上脸很舒服,-7.0057964,1.5185139,1.447158,0.07135590000000014,-4.040125
感很不错,9.1011294e-05,1.2501552e-07,727.9999754466913,-8.504912,1.2552725,1.7923917,-5.457248,-0.5371192,口感很不错,-7.458556,1.462398,1.39794,0.06445800000000013,-4.598218
的很好看,9.1011294e-05,1.2501552e-07,727.9999754466913,-8.810856,1.39794,2.0374265,-5.375489,-0.6394865000000001,真的很好看,-7.647488,2.7831886,2.5888317,0.19435689999999983,-2.275468
效果都不错,9.063625e-05,1.2501552e-07,724.9999757877092,-7.115556,1.6627579,1.146128,-4.3066697,0.5166298999999999,,,,,,
不二选择,9.038622e-05,1.2501552e-07,722.9999760150548,-8.528891,1.146128,1.8388491,-5.5439134,-0.6927211,,,,,,
人很喜欢,8.888603e-05,1.2501552e-07,710.9999773791275,-9.136911,1.6812413,2.3053513,-5.150319,-0.6241099999999999,个人很喜欢,-8.2421255,1.8920946,2.146128,-0.25403339999999996,-4.203903
太棒啦,8.813594000000001e-05,1.2501552e-07,704.9999780611639,-8.329424,1.8573325,0.69897,-5.773122,1.1583625,棒啦还,,,,,
水效果很好,8.776089e-05,1.2501552e-07,701.999978402182,-7.4136434,1.0,1.6627579,-4.7508855,-0.6627578999999999,,,,,,
真的很值,8.676076999999999e-05,1.2501552e-07,693.9999793115637,-8.248201,2.3996737,1.5910646,-4.2574635,0.8086091000000002,,,,,,
洁净力,8.6510736e-05,1.2501552e-07,691.9999795389093,-7.0637703,0.30103,1.1760913,-5.586649,-0.8750612999999999,8倍洁净力,-6.9118767,1.1760913,1.0791812,0.09691009999999989,-4.6566043
吃好,8.638572e-05,1.2501552e-07,690.9999796525819,-9.710863,2.2479732,1.6720978,-5.790792,0.5758754000000001,吃好喝好,-8.690609,1.4771212,1.5314789,-0.05435769999999995,-5.6820087
喝了很,8.626070499999999e-05,1.2501552e-07,689.9999797662547,-8.57746,2.0530784,1.4771212,-5.0472603,0.5759572,喝了很多酒,-6.5859914,1.3802112,1.1760913,0.20411990000000002,-4.029689
味道醇厚,8.588565999999999e-05,1.2501552e-07,686.9999801072729,-8.024326,1.0,1.5314789,-5.4928474,-0.5314789,,,,,,
不伤,8.551061e-05,1.2501552e-07,683.9999804482911,-8.456008,2.5611014,2.0530784,-3.841828,0.5080230000000001,不伤手,-8.551928,1.2787536,1.4771212,-0.1983676000000001,-5.7960525
价比,8.2885286e-05,1.2501552e-07,662.9999828354182,-8.183486,0.845098,1.5440681,-5.79432,-0.6989701,性价比,-7.52566,0.9542425,0.7781513,0.1760912,-5.7932663
也特别的好,8.1510116e-05,1.2501552e-07,651.9999840858184,-8.13123,1.5910646,1.0791812,-5.4609847,0.5118833999999999,,,,,,
我们一直,8.076002e-05,1.2501552e-07,645.9999847678548,-9.54621,2.3424227,1.6812413,-5.522547,0.6611814000000003,我们一直在,-7.5264554,2.649335,2.5921767,0.05715830000000022,-2.2849438
值得一,7.9884914e-05,1.2501552e-07,638.9999855635638,-8.919497,2.2355285,1.462398,-5.22157,0.7731304999999999,值得一看,-8.715131,1.7853298,1.30103,0.48429980000000006,-5.628771
都喜欢吃,7.97599e-05,1.2501552e-07,637.9999856772365,-7.4740176,0.60206,1.1760913,-5.6958666,-0.5740312999999999,人都喜欢吃,-7.9264684,1.39794,1.6627579,-0.26481789999999994,-4.8657703
不飞粉,7.925984e-05,1.2501552e-07,633.9999861319275,-7.1160316,0.47712126,1.0791812,-5.559729,-0.6020599400000001,细腻不飞粉,-6.5138063,1.3222193,1.7075702,-0.38535089999999994,-3.484017
棒哦,7.8759775e-05,1.2501552e-07,629.9999865866183,-8.503105,1.146128,1.7242758,-5.632701,-0.5781478,,,,,,
爽了,7.7884666e-05,1.2501552e-07,622.9999873823274,-9.413951,1.6232493,2.1271048,-5.663597,-0.5038555000000002,,,,,,
颜色也很好,7.638448e-05,1.2501552e-07,610.9999887464003,-7.610565,1.6434526,0.90309,-5.0640225,0.7403626000000001,,,,,,
用得放心,7.6259465e-05,1.2501552e-07,609.9999888600729,-7.4281726,0.30103,1.462398,-5.6647444,-1.161368,,,,,,
装方便,7.600943e-05,1.2501552e-07,607.9999890874182,-7.256933,0.30103,1.146128,-5.809775,-0.845098,包装方便,-7.4358864,1.4149734,1.39794,0.017033400000000087,-4.622973
点小,7.588442e-05,1.2501552e-07,606.999989201091,-9.464995,1.6812413,2.3304138,-5.4533405,-0.6491725000000002,有点小,-9.124439,1.7853298,1.6334685,0.15186129999999998,-5.705641
多优惠,7.563439e-05,1.2501552e-07,604.9999894284365,-7.8931975,0.90309,1.5797836,-5.410324,-0.6766936000000001,,,,,,
好呀,7.550937e-05,1.2501552e-07,603.9999895421092,-7.138131,0.30103,1.0791812,-5.75792,-0.7781512,早上好,-6.2952886,0.0,0.47712126,-0.47712126,-5.818167
手表很好看,7.363414e-05,1.2501552e-07,588.9999912472001,-7.7363744,0.7781513,1.3222193,-5.636004,-0.544068,,,,,,
京东超,7.2884046e-05,1.2501552e-07,582.9999919292363,-8.11311,2.049218,0.69897,-5.3649216,1.3502480000000001,,,,,,
中国加油,7.175891e-05,1.2501552e-07,573.999992952291,-8.135459,1.5563025,0.90309,-5.6760664,0.6532125,,,,,,
不错啦,7.1508875e-05,1.2501552e-07,571.9999931796366,-8.677105,1.3222193,1.9294189,-5.4254665,-0.6071996,还不错,-9.254314,1.5682018,1.8692317,-0.3010299000000001,-5.8168807
真爱,7.100881e-05,1.2501552e-07,567.9999936343272,-9.781956,1.7558749,2.2900345,-5.736047,-0.5341596,,,,,,
节能省电,7.088380000000001e-05,1.2501552e-07,566.9999937480001,-8.206325,1.0791812,1.5797836,-5.54736,-0.5006024,,,,,,
价格超,7.0383736e-05,1.2501552e-07,562.9999942026909,-8.538421,2.0374265,1.3222193,-5.178775,0.7152072,价格超实惠,-6.6671185,1.230449,1.230449,0.0,-4.2062206
不会很甜,7.0383736e-05,1.2501552e-07,562.9999942026909,-8.392924,1.5563025,1.0413927,-5.795229,0.5149097999999999,不会很甜腻,-7.2003555,1.3617278,1.3424227,0.019305099999999964,-4.4962053
期待有,6.963364e-05,1.2501552e-07,556.9999948847274,-9.18761,2.0,1.39794,-5.7896695,0.60206,期待有翡,-6.0966024,0.0,0.30103,-0.30103,-5.7955723
口感清爽,6.9258596e-05,1.2501552e-07,553.9999952257455,-8.167871,1.0413927,1.5797836,-5.546695,-0.5383909,,,,,,
个人觉得还,6.900856499999999e-05,1.2501552e-07,551.999995453091,-7.945909,1.8808136,1.2787536,-4.7863417,0.60206,,,,,,
只是没,6.863352e-05,1.2501552e-07,548.9999957941092,-8.394742,2.5263393,2.0170333,-3.8513691,0.509306,只是没有,-8.511384,2.1931245,2.4683473,-0.2752227999999999,-3.849912
货速度,6.825847e-05,1.2501552e-07,545.9999961351274,-8.000675,1.3802112,2.0253057,-4.595158,-0.6450945000000001,发货速度,-7.109099,1.7993406,1.8692317,-0.06989109999999998,-3.4405265
也是很好,6.800844000000001e-05,1.2501552e-07,543.9999963624729,-8.932245,1.8920946,1.30103,-5.7391205,0.5910646000000002,是很好,,,,,
超级无敌好,6.7883426e-05,1.2501552e-07,542.9999964761455,-7.8664026,2.3961995,1.8512584,-3.6189451,0.5449410999999997,,,,,,
都要好,6.713333e-05,1.2501552e-07,536.9999971581818,-8.370519,2.6314437,2.0374265,-3.7016482,0.5940172000000001,要好好,-7.1191854,0.69897,0.60206,0.09690999999999994,-5.818156
说是很,6.700831999999999e-05,1.2501552e-07,535.9999972718547,-8.57873,1.748188,2.480007,-4.3505344,-0.731819,可以说是,-7.584631,0.90309,0.90309,0.0,-5.778451
度刚好,6.663326999999999e-05,1.2501552e-07,532.9999976128729,-8.345153,1.4149734,1.9294189,-5.0007606,-0.5144454999999999,甜度刚好,-8.324233,1.50515,1.1139433,0.3912066999999999,-5.70514
还是那么好,6.6508255e-05,1.2501552e-07,531.9999977265455,-8.062799,2.2648177,1.6334685,-4.164513,0.6313492,,,,,,
很有特色,6.638324000000001e-05,1.2501552e-07,530.9999978402182,-8.599386,1.908485,1.3802112,-5.31069,0.5282738,有特色,-8.697627,1.4149734,1.819544,-0.4045706,-5.46311
人非常喜欢,6.563315e-05,1.2501552e-07,524.9999985222546,-8.551012,1.39794,1.9542425,-5.1988297,-0.5563025000000001,,,,,,
就足够了,6.5383116e-05,1.2501552e-07,522.9999987496,-8.862852,1.845098,1.2787536,-5.7390003,0.5663444,,,,,,
不失,6.275779000000001e-05,1.2501552e-07,502.00000113672724,-8.116216,1.8864907,0.60206,-5.627665,1.2844307,不失优雅,-7.607333,1.1760913,1.5797836,-0.4036923000000001,-4.8514585
有券,6.238274e-05,1.2501552e-07,499.0000014777455,-5.645818,0.9542425,0.30103,-4.3905454,0.6532125,,,,,,
推荐一,6.213271e-05,1.2501552e-07,497.0000017050909,-9.182522,2.0,1.3802112,-5.8023105,0.6197888,推荐一款,-9.014595,1.7242758,1.6720978,0.05217800000000006,-5.6182218
快的速度,6.163265e-05,1.2501552e-07,493.0000021597818,-8.352566,1.1760913,1.7075702,-5.4689045,-0.5314789,,,,,,
喝上,6.138261999999999e-05,1.2501552e-07,491.0000023871272,-8.990703,2.2405493,1.5440681,-5.206085,0.6964812,喝上一杯,-8.396231,1.462398,1.6720978,-0.20969979999999988,-5.261735
着放心,6.138261999999999e-05,1.2501552e-07,491.0000023871272,-8.427617,1.1760913,1.763428,-5.488098,-0.5873367,吃着放心,-8.053218,1.0,1.2787536,-0.27875359999999993,-5.774464
小手,6.1257604e-05,1.2501552e-07,490.0000025008,-7.8631434,0.60206,1.7403626,-5.520721,-1.1383026,动动小手,-8.350014,1.39794,1.30103,0.09691000000000005,-5.6510434
太实用了,6.0882558e-05,1.2501552e-07,487.0000028418182,-8.169067,1.8512584,1.230449,-5.0873604,0.6208094000000002,实用了,,,,,
使用感很,6.0757542000000004e-05,1.2501552e-07,486.00000295549086,-8.176134,2.089905,1.3617278,-4.7245016,0.7281772,使用感很好,-7.4398804,1.9138138,1.7403626,0.17345119999999992,-3.7857041
这款奶,6.0757542000000004e-05,1.2501552e-07,486.00000295549086,-8.109283,1.9822712,0.90309,-5.2239223,1.0791812,这款奶粉,-8.649786,1.4313638,1.80618,-0.37481619999999993,-5.412242
