words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
可能这,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-8.449193,2.20412,1.6127839,-4.6322894,0.5913361000000001,可能这就,,,,,
6的,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-8.674412,1.7323937,2.357935,-4.584083,-0.6255412999999999,666,,,,,
应该好,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-9.075839,2.303196,1.7781513,-4.9944916,0.5250446999999998,应该好好,-8.964933,1.69897,1.5440681,0.15490190000000004,-5.721895
买了第,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-8.585196,2.2787535,1.2787536,-5.0276885,0.9999999000000002,买了第一双,-6.8641324,1.8976271,1.7323937,0.16523339999999997,-3.2341113
的果,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-9.624109,2.4668677,1.5682018,-5.58904,0.8986658999999999,果实,-7.556399,0.90309,0.90309,0.0,-5.750219
我多,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-6.8022203,1.0,0.0,-5.8022203,1.0,我多想,-8.46255,1.7242758,1.39794,0.32633580000000006,-5.3403344
是骗人,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-7.8558145,2.20412,1.60206,-4.0496345,0.60206,骗人,-7.195804,0.7781513,0.7781513,0.0,-5.6395016
天时间,1.6156707e-06,9.047755999999999e-05,55.999998874158344,-9.004462,1.3802112,1.9242793,-5.6999717,-0.5440681,两天时间,-8.34036,1.6232493,1.8633229,-0.2400736000000001,-4.853788
我也无,1.6156707e-06,8.886189e-05,54.999999296348975,-8.833308,2.0,1.4771212,-5.356187,0.5228788,我也无法,-8.698665,1.7242758,1.8573325,-0.13305670000000003,-5.117057
什么也没,1.6156707e-06,8.886189e-05,54.999999296348975,-8.597901,2.1673174,1.6532125,-4.7773714,0.5141049,什么也没有,-8.081502,2.2455127,2.2227166,0.022796099999999875,-3.6132724
箱的,1.6156707e-06,8.886189e-05,54.999999296348975,-9.15707,2.2253094,2.8842287,-4.047532,-0.6589193,冰箱,-9.115015,1.6627579,1.6720978,-0.009339900000000068,-5.7801595
然后就没,1.6156707e-06,8.886189e-05,54.999999296348975,-8.276402,2.2253094,1.7160033,-4.3350897,0.5093061000000001,然后就没有,-7.934037,1.9590414,1.5314789,0.42756250000000007,-4.4435167
感觉差,1.6156707e-06,8.886189e-05,54.999999296348975,-8.578168,2.1238515,1.3802112,-5.074105,0.7436402999999998,感觉差不多,-7.9367146,1.9190781,1.8325089,0.08656919999999979,-4.1851273
套的,1.6156707e-06,8.886189e-05,54.999999296348975,-8.987099,1.146128,2.4183013,-5.4226694,-1.2721733,配套,-7.8141537,1.0,1.0791812,-0.07918120000000006,-5.7349725
太不值,1.6156707e-06,8.886189e-05,54.999999296348975,-8.498227,1.8692317,1.20412,-5.4248753,0.6651117,不值,,,,,
用2,1.6156707e-06,8.886189e-05,54.999999296348975,-8.303727,1.0,1.5314789,-5.7722483,-0.5314789,备用2,-8.944061,1.8573325,1.7781513,0.07918120000000006,-5.3085775
是我没有,1.6156707e-06,8.886189e-05,54.999999296348975,-7.9157915,1.146128,1.7853298,-4.9843335,-0.6392017999999999,但是我没有,-8.131697,2.164353,2.3443923,-0.1800392999999998,-3.6229515
一直拖,1.6156707e-06,8.886189e-05,54.999999296348975,-8.173033,1.8750613,1.3222193,-4.9757524,0.5528420000000001,一直拖着,-7.7046094,0.9542425,1.0791812,-0.12493870000000007,-5.6711855
了真,1.6156707e-06,8.886189e-05,54.999999296348975,-9.157583,2.1003706,1.50515,-5.552063,0.5952206000000002,,,,,,
的特,1.6156707e-06,8.724622e-05,53.999999718539584,-9.415295,2.2855573,1.447158,-5.6825795,0.8383992999999998,特点,,,,,
恶心了,1.6156707e-06,8.724622e-05,53.999999718539584,-8.427231,1.30103,1.80618,-5.3200207,-0.50515,太恶心,-9.08185,1.6127839,1.690196,-0.0774121000000001,-5.77887
太坑,7.125884599999999e-06,0.00037968260000000004,53.282171407172925,-8.299079,2.2900345,1.7242758,-4.284769,0.5657587,,,,,,
发现一,1.6156707e-06,8.563055e-05,53.00000014073021,-9.299863,2.3159704,1.60206,-5.3818326,0.7139103999999998,发现一只,-8.846322,1.5682018,1.50515,0.06305179999999999,-5.77297
是几个意思,1.6156707e-06,8.563055e-05,53.00000014073021,-7.37293,2.2718415,1.7242758,-3.3768127,0.5475656999999998,,,,,,
如果真,1.6156707e-06,8.563055e-05,53.00000014073021,-8.877027,1.8750613,1.3222193,-5.679746,0.5528420000000001,,,,,,
人管,1.6156707e-06,8.563055e-05,53.00000014073021,-7.596403,0.30103,1.5440681,-5.7513046,-1.2430381000000001,没人管,-8.287367,1.30103,1.20412,0.09690999999999983,-5.7822165
可真,1.6156707e-06,8.563055e-05,53.00000014073021,-9.608721,2.206826,1.69897,-5.7029247,0.5078559999999999,,,,,,
都不值,1.6156707e-06,8.563055e-05,53.00000014073021,-8.766627,2.2121875,1.5440681,-5.010371,0.6681194000000001,不值,,,,,
真的不值,1.6156707e-06,8.563055e-05,53.00000014073021,-8.436367,2.1105897,1.39794,-4.927837,0.7126496999999998,,,,,,
讲真的,1.6156707e-06,8.563055e-05,53.00000014073021,-7.6693096,1.5682018,0.30103,-5.8000774,1.2671717999999998,讲真的我,-8.388008,1.4913617,1.748188,-0.2568263000000002,-5.1484585
这是第,1.6156707e-06,8.563055e-05,53.00000014073021,-8.503935,2.2479732,1.146128,-5.1098332,1.1018452,这是第一次,-8.137481,2.2329962,2.3117537,-0.07875750000000004,-3.592731
松的,1.6156707e-06,8.563055e-05,53.00000014073021,-9.200877,1.230449,2.3283796,-5.642049,-1.0979306,放松,-8.6888,1.462398,1.50515,-0.0427519999999999,-5.721252
的提,1.6156707e-06,8.401488e-05,52.00000056292082,-9.214591,3.1068707,2.3138673,-3.793853,0.7930033999999999,提升,-9.199721,1.6127839,1.7923917,-0.1796078000000001,-5.7945457
件东西,1.6156707e-06,8.401488e-05,52.00000056292082,-8.335294,1.3424227,1.8808136,-5.1120577,-0.5383909,一件东西,-8.170611,1.5682018,1.690196,-0.12199420000000005,-4.9122133
是这次的,1.6156707e-06,8.401488e-05,52.00000056292082,-8.95181,1.69897,2.2121875,-5.0406523,-0.5132175000000001,,,,,,
个好的,1.6156707e-06,8.401488e-05,52.00000056292082,-9.02811,1.9344984,2.8356905,-4.2579207,-0.9011921,一个好,-8.904995,1.6627579,1.50515,0.1576078999999999,-5.7370872
点不一样,1.6156707e-06,8.401488e-05,52.00000056292082,-8.685977,1.0791812,1.7853298,-5.821466,-0.7061485999999999,有点不一样,-7.910032,2.3201463,2.071882,0.24826430000000022,-3.5180037
了还是怎么,1.6156707e-06,8.401488e-05,52.00000056292082,-8.027421,2.0863597,1.3617278,-4.5793333,0.7246319000000001,,,,,,
能用了,1.6156707e-06,8.401488e-05,52.00000056292082,-8.764858,1.3222193,2.0374265,-5.4052124,-0.7152072,不能用,-8.537011,1.3802112,1.5185139,-0.1383027000000001,-5.6382856
